File,Energy
Si3B2Mo3P5-3184_POSCAR, -89.481
B3Mo6P3-5164_POSCAR, -103.85
Si8B2Mo2-4309_POSCAR, -75.791
Si2B2Mo6-2589_POSCAR, -92.165
Si8B4-5365_POSCAR, -66.864
B4Mo5-4097_POSCAR, -84.337
Si2Mo2P6-2001_POSCAR, -65.116
Si2B2Mo4P4-4696_POSCAR,  -90.66
Si1Mo8P9-7213_POSCAR, -145.45
Si3B3Mo6-4679_POSCAR,  -103.8
Si1B2Mo4-362_POSCAR, -63.556
Mo6P2-621_POSCAR, -74.787
B4Mo2-3825_POSCAR, -49.938
Mo10P6-676_POSCAR, -147.01
Si2B2Mo2-5874_POSCAR, -47.535
Si4P6-4317_POSCAR, -52.365
Si7B3P2-4653_POSCAR, -67.829
Si1B2Mo3-4401_POSCAR, -53.084
B2Mo2P2-7029_POSCAR,  -47.15
B12-290_POSCAR, -78.096
Si4B12-28_POSCAR, -96.495
B2Mo4P3-3627_POSCAR, -75.635
Si6B3-978_POSCAR, -49.161
Si2B4Mo4-5705_POSCAR, -82.973
Si2B4Mo3-3200_POSCAR, -71.527
Mo24P2-583_POSCAR, -264.21
Si3P7-5314_POSCAR,  -52.04
Si8B2-5410_POSCAR, -55.158
Si3P8-6572_POSCAR, -57.675
Si2B2-1954_POSCAR, -22.792
Si9B2P3-2645_POSCAR, -77.501
Si4Mo4P4-3956_POSCAR, -91.043
Si6B4P4-5282_POSCAR, -79.813
B1Mo2-2412_POSCAR, -28.694
Si4B7-3015_POSCAR, -63.466
Si6Mo2-1342_POSCAR, -54.393
Mo2P8-4527_POSCAR, -65.382
Si1B2Mo4P5-5513_POSCAR, -90.297
Si1B3Mo4P2-1907_POSCAR,  -81.26
Si4B3P5-2223_POSCAR, -68.033
Si2B4Mo4-6462_POSCAR, -84.071
Si7B4P3-747_POSCAR, -79.637
Si2B1Mo2-5191_POSCAR, -40.241
Si2Mo2P6-5624_POSCAR, -65.131
Si4Mo2P7-2260_POSCAR, -81.059
Si2B2P6-3939_POSCAR, -55.666
B3Mo4P2-2472_POSCAR, -75.669
Si2Mo2-127_POSCAR, -33.196
Si6-1533_POSCAR,  -30.64
B1Mo2P1-1593_POSCAR, -34.743
B7Mo7-3855_POSCAR, -125.45
Si2B2-6442_POSCAR, -22.917
